MSA_Name,AdvWeightedGap_2006,AdvWeightedGap_2007,AdvWeightedGap_2008,AdvWeightedGap_2009,AdvWeightedGap_2010,AdvWeightedGap_2011,AdvWeightedGap_2012,AdvWeightedGap_2013,AdvWeightedGap_2014,AdvWeightedGap_2015,AdvWeightedGap_2016,AdvWeightedGap_2017,AdvWeightedGap_2018,AdvWeightedGap_2019,AdvWeightedGap_2020,AdvWeightedGap_2021,AdvWeightedGap_2022,AdvWeightedGap_2023,Adv_Weight_LQ_2015_2018_Anchor,Avg_AdvWeightedGap_PreCOVID_2006_2019,Avg_AdvWeightedGap_COVID_2020_2023,Latest_Year_AdvWeightedGap_2023,Market_Category_Mode_2020_2023
"Omaha, NE-IA",,589503.35810389,-411898.5436164143,-503120.4662062172,193209.04460222414,88020.3374019484,-14691.897257544566,-249574.12660182966,100708.8880433375,191019.89459540183,17935.8941999604,-307846.58566595474,8051.766511992319,327516.4268452686,638303.8607977822,16890.158347432734,170469.26089897426,277690.5082965153,0.4288673465382523,2217.999304312514,275838.4470851761,277690.5082965153,Moderate Structural Surplus
"Fresno, CA",,-12309.113349902676,322246.74273176957,153331.79198329826,-216858.85815971904,-610487.5458147032,-288514.7593118707,113004.03824981954,-684.9691432081163,-153604.40761648677,9864.047271632822,-25919.665471315617,-110032.0317719254,125273.60202720459,351451.55749903026,351775.9280832742,94053.02779725031,198100.30377181468,0.2506575192878946,-53437.77910580052,248845.20428784238,198100.30377181468,Moderate Structural Surplus
"Kiryas Joel-Poughkeepsie-Newburgh, NY",212038.55887934216,378816.49592220434,256891.5444895695,319346.968257796,34312.33374945307,-7900.1159688076,143776.47818105808,687528.3029416427,151659.48383065034,-209529.9952475028,102363.560548482,53009.23603639146,29491.692274154164,-119558.81367661536,86747.91719585436,-16173.236363840173,513097.6710378034,301978.1239804118,0.4006504562303693,145160.40930127274,221412.61896255735,301978.1239804118,Structurally Balanced
"Spokane-Spokane Valley, WA",,-5565.672643740196,-168604.200160034,-164190.12460232968,-175764.52341391402,-116394.03523491602,50534.93500056269,3496.43051556556,-244818.1039462632,-220152.4864818051,-177669.18903976423,-109951.0363224083,-94907.56639975321,5428.488418033812,292534.49157819536,-102047.32442286401,326261.8474278434,324821.0803429707,0.4038672033883105,-109119.77571621275,210392.52373153635,324821.0803429707,Moderate Structural Surplus
"Tucson, AZ",-505401.4489533802,77311.1743476754,-110728.18436276028,-120943.35898103984,-157981.04972845828,275514.2708640769,46255.78155233571,-46517.89626841899,95149.18169349618,301517.73129712464,-77241.15130705107,158495.03504441888,-82455.513346388,-118712.64964429103,-47884.19621384516,-323239.06163034844,571888.067472944,618285.9419759642,0.5030994261420749,-18981.291270904283,204762.68790117867,618285.9419759642,Moderate Structural Surplus
"Deltona-Daytona Beach-Ormond Beach, FL",,-249723.56268619036,13058.88842414273,-124901.67826617428,92740.70155802346,-163799.21044263477,-113364.31778044067,-70580.22770071973,-136448.12940980238,-103803.91985685681,-88149.1139442987,-14399.635906778974,88805.27736361045,-31717.669077608385,501323.6133343466,93310.07567676983,287039.9461996113,-115368.83921188826,0.4020354510502388,-69406.35367120987,191576.19899970986,-115368.83921188826,Moderate Structural Deficit
"Columbia, SC",,-569103.1667868812,402428.65468055476,-264966.40234736307,-332254.5079520717,291871.83864844404,252843.78631138802,161023.19871193497,198989.7671977845,563005.1645430513,316052.8425361905,-419589.58598823147,-693108.4523448143,-549262.0663940485,24706.728978462983,-71763.35384226637,-67118.74716424756,854826.358172188,0.4270521848544292,-49389.91762954324,185162.74653603428,854826.358172188,Structurally Balanced
"Baltimore-Columbia-Towson, MD",2514345.6397157814,1382622.5460211746,-1638441.417157419,-1905043.8463493325,-2563169.5526224114,-2385691.6160221025,653797.732607916,1601377.235746514,356857.1569202244,1157821.8842186872,-1301335.1035983022,-190278.9198200386,-153710.77701834217,3142387.6632448453,-658374.6650158353,-1792928.4475579672,-975642.4845956378,4095510.761946311,0.509189592236838,47967.04470622819,167141.29119421775,4095510.761946311,Structurally Balanced
"Richmond, VA",1101611.5971755055,-191194.1419115318,265060.74781216774,407205.20146142785,530089.6996585326,667467.1579269664,-617661.4178238222,15479.488612341695,-430908.92598422244,142683.86470012832,823870.7729243618,4673.0760137951,-1198650.5744401775,108532.54313742463,651457.6760489582,-488782.83482870227,-171470.10421242472,607221.4041099469,0.4034907248214866,116304.22066163554,149606.53527944454,607221.4041099469,Moderate Structural Surplus
"Chattanooga, TN-GA",,562006.7021796312,-164526.03981633577,761275.6636480428,606536.8389834166,592018.7786181532,-37576.73041515704,-272285.6171136284,-446403.1649269024,-122035.83684610482,-363112.47033967497,-55453.68709823303,4156.918349633459,-249889.1471035434,41165.91407703655,-155084.661184176,167931.206098421,512239.6368740336,0.49890955466083065,62670.16985533057,141563.0239663288,512239.6368740336,Moderate Structural Deficit
